epoch,train_loss,val_loss,mae_position_z,median_error_position_z,q68_error_position_z,lr,time_s
1,0.1046088432951106,0.3035770654678345,151.78866577148438,95.1033935546875,167.42975341796878,0.00028006450308846835,219.96113061904907
2,0.08551309660904938,0.297467976808548,148.73423767089844,100.11575317382812,172.3790747070313,0.0007601289888409016,215.9468252658844
3,0.08012621929910448,0.2776525318622589,138.8258056640625,81.887939453125,154.72082519531253,0.0009999999993314322,214.25581860542297
4,0.07705566261708736,0.2781989574432373,139.0980682373047,86.53179931640625,157.35702880859384,0.0009966161899591214,236.23362016677856
5,0.0752299427555667,0.2666774094104767,133.33889770507812,70.403076171875,142.6731774902344,0.000986516525601254,218.90789031982422
6,0.07389363738894462,0.27979257702827454,139.89698791503906,87.92138671875,158.2950366210938,0.0009698375868924584,219.91779780387878
7,0.07293085624774297,0.26734331250190735,133.67120361328125,75.12109375,147.86256347656257,0.0009468049278663209,225.95538783073425
8,0.0721255133052667,0.270366907119751,135.18252563476562,70.09344482421875,140.28822021484376,0.0009177300257240141,219.97366428375244
9,0.0713277286009656,0.2604884207248688,130.24398803710938,74.06463623046875,148.60037719726563,0.0008830060686394871,233.9355070590973
10,0.07058964368038707,0.27693629264831543,138.4665985107422,87.3739013671875,159.92264038085938,0.000843102638563919,222.4942946434021
11,0.07009556024273236,0.28103578090667725,140.51773071289062,93.6376953125,169.24199462890627,0.0007985593609353905,217.27319717407227
12,0.06940600315564209,0.25657200813293457,128.28628540039062,71.67462158203125,145.73436523437505,0.0007499786071705528,219.0084207057953
13,0.06883593547840913,0.25744134187698364,128.72076416015625,72.044921875,143.08227050781258,0.0006980173486245747,215.81819367408752
14,0.06833546799918015,0.264633446931839,132.3172607421875,81.8995361328125,153.18881835937506,0.0006433782721805889,218.3311312198639
15,0.06772698537839783,0.2578679323196411,128.93382263183594,74.10546875,148.19468750000001,0.0005868002776150452,216.59985995292664
16,0.06715176135136021,0.25156307220458984,125.78128051757812,66.49996948242188,138.48501953125,0.0005290484852458046,217.62447881698608
17,0.06653870081570414,0.2627356946468353,131.36715698242188,79.79290771484375,153.31131591796876,0.0004709038889923922,216.60369753837585
18,0.06581499699917104,0.2553941011428833,127.69725799560547,72.64752197265625,144.93042724609376,0.00041315279477301684,315.7857005596161
19,0.06516178612576591,0.2555727958679199,127.78539276123047,71.345947265625,144.82415039062508,0.0003565761870659245,295.0255546569824
20,0.06426810051004092,0.25452080368995667,127.26017761230469,70.09832763671875,145.12926635742198,0.0003019391674340944,219.5214080810547
21,0.06341952174239689,0.257350891828537,128.67601013183594,74.8919677734375,149.64177978515625,0.0002499806078391207,220.72429490089417
