epoch,train_loss,val_loss,mae_energy,median_error_energy,q68_error_energy,lr,time_s
1,0.022264886593653097,0.11354812234640121,135.3349151611328,64.52728271484375,110.06758422851563,0.00028006450308846835,217.60304236412048
2,0.012480674693153964,0.12239091098308563,143.77134704589844,87.87338256835938,135.53560302734377,0.0007601289888409016,216.45500445365906
3,0.0117355025857687,0.10508788377046585,127.76842498779297,55.219879150390625,99.73738159179693,0.0009999999993314322,216.63890743255615
4,0.01111568962285916,0.10351017117500305,127.0851821899414,52.48553466796875,93.57701416015625,0.0009966161899591214,235.73879027366638
5,0.010807090161782173,0.10319770872592926,126.14423370361328,61.53302001953125,105.28491333007813,0.000986516525601254,220.62457847595215
6,0.010575696709979739,0.09961875528097153,123.49002838134766,48.639984130859375,90.18040405273443,0.0009698375868924584,218.14709377288818
7,0.010471113975884187,0.09911809861660004,122.5887451171875,53.42608642578125,97.96936523437502,0.0009468049278663209,215.4263150691986
8,0.010298738844278786,0.10329379141330719,125.26757049560547,51.71417236328125,93.07752929687504,0.0009177300257240141,221.58494567871094
9,0.01021177187996606,0.09917594492435455,121.9544677734375,57.475067138671875,101.76546386718752,0.0008830060686394871,242.89020538330078
10,0.010103413047062026,0.0996021181344986,122.53374481201172,59.6163330078125,105.0468994140625,0.000843102638563919,221.7998034954071
11,0.010005741958816846,0.10598818957805634,129.3501739501953,69.03729248046875,121.26089721679689,0.0007985593609353905,220.34566974639893
12,0.009914632169322835,0.09865699708461761,122.13868713378906,57.717041015625,105.68788330078127,0.0007499786071705528,221.78600358963013
13,0.009809977774818738,0.09902152419090271,121.65696716308594,56.09765625,99.93479309082035,0.0006980173486245747,221.75539016723633
14,0.009743624263339572,0.09651163220405579,119.52227783203125,52.817138671875,95.12495483398445,0.0006433782721805889,220.7688376903534
15,0.00964877258758578,0.09882644563913345,122.21405029296875,58.214111328125,105.15166503906258,0.0005868002776150452,217.85221099853516
16,0.009560764824971557,0.09585084766149521,118.99859619140625,51.9178466796875,95.01833129882817,0.0005290484852458046,218.3049967288971
17,0.009468054488922158,0.09926058351993561,122.75657653808594,59.08367919921875,108.71910644531253,0.0004709038889923922,221.9924635887146
18,0.009366156640359098,0.09766402840614319,120.47049713134766,56.132476806640625,100.23752441406252,0.00041315279477301684,294.87983107566833
19,0.009266027078860336,0.09707942605018616,120.16400909423828,56.533721923828125,103.5862097167969,0.0003565761870659245,294.05722165107727
20,0.009140340191208653,0.0977499708533287,120.50273132324219,57.545501708984375,105.66694335937501,0.0003019391674340944,215.90727066993713
21,0.009017995770192808,0.09677331149578094,119.89398956298828,56.045745849609375,103.60614379882816,0.0002499806078391207,216.9999589920044
