epoch,train_loss,val_loss,median_opening_deg,mean_opening_deg,q68_opening_deg,lr,time_s
1,0.7673655559146215,0.7195932269096375,40.54619216918945,41.22965621948242,50.38238525390625,0.0005260316991440093,11.937755346298218
2,0.6649147409295278,0.5507814288139343,25.63776397705078,31.557453155517578,34.50429916381836,0.0009999980812798784,1.5710208415985107
3,0.3965266344566194,0.3438819646835327,15.173356056213379,19.702985763549805,20.461759567260742,0.000992161484269298,1.5873472690582275
4,0.25086462639627005,0.25647181272506714,10.777876853942871,14.69475269317627,14.320171356201172,0.0009693708703739101,1.5864858627319336
5,0.21158057853342996,0.20477460324764252,6.498178482055664,11.732721328735352,10.101754188537598,0.0009323187208643196,1.6001110076904297
6,0.19074348182905287,0.20222777128219604,6.997818946838379,11.586796760559082,10.208080291748047,0.0008821308465540832,1.6215133666992188
7,0.1800626636970611,0.18623675405979156,6.352552890777588,10.670578956604004,9.006053924560547,0.0008203321806078274,1.5973405838012695
8,0.1602260386423459,0.1966317743062973,6.33669900894165,11.2661714553833,8.807741165161133,0.0007488004442186953,1.5908985137939453
9,0.1551946128408114,0.17900022864341736,5.756259918212891,10.25595760345459,7.911374092102051,0.0006697090930000659,1.5865626335144043
10,0.14496908668014738,0.17107966542243958,5.664412021636963,9.802142143249512,7.999603271484375,0.0005854612776365618,1.5954647064208984
11,0.1352396472578957,0.1586594432592392,5.136256694793701,9.0905179977417,7.211479663848877,0.0004986168253665519,1.6023950576782227
12,0.127204601253782,0.1616835743188858,5.536544322967529,9.263787269592285,7.500848293304443,0.0004118144609268473,1.6084527969360352
13,0.1195506930114731,0.15576879680156708,4.995398998260498,8.924895286560059,6.769141674041748,0.00032769163023683236,1.5962812900543213
14,0.11234444805553981,0.15365655720233917,4.720324993133545,8.803872108459473,6.660797119140625,0.000248804362938817,1.5848901271820068
15,0.10708076660595243,0.14885252714157104,4.691185474395752,8.528620719909668,6.572354793548584,0.00017754960873076818,1.5883698463439941
16,0.10131920194105497,0.15006649494171143,4.412508010864258,8.598177909851074,6.365222930908203,0.0001160924072626517,1.6116130352020264
17,0.09725042881946715,0.149575337767601,4.471111297607422,8.570034980773926,6.249778747558594,6.630010450223227e-05,1.5747959613800049
18,0.09373365253919647,0.14843615889549255,4.238452911376953,8.504765510559082,6.161162853240967,2.9685614372763948e-05,1.578284502029419
19,0.09130319870180553,0.1475296914577484,4.30975341796875,8.452829360961914,6.160430908203125,7.361449629004854e-06,1.575441837310791
20,0.09014838715157812,0.14753417670726776,4.226051330566406,8.453084945678711,6.1678595542907715,5.918720121512695e-09,1.5774407386779785
