epoch,train_loss,val_loss,median_opening_deg,mean_opening_deg,q68_opening_deg,lr,time_s
1,0.28895612631065576,0.14365537464618683,5.1029229164123535,8.230846405029297,7.082607269287109,0.0002800742764541386,1411.274593114853
2,0.1197448792765365,0.11429042369127274,3.8279688358306885,6.548359394073486,5.321396827697754,0.0007601485299208121,202.57445073127747
3,0.10787592839712741,0.10651163756847382,3.353512763977051,6.102667331695557,4.749309539794922,0.0009999999991135355,193.30417609214783
4,0.10275448258954768,0.10843591392040253,3.870750665664673,6.212920188903809,5.220429420471191,0.0009966157350220016,193.2910509109497
5,0.09862619736818111,0.10179198533296585,3.2834835052490234,5.832251071929932,4.5863823890686035,0.0009865156220971551,192.84937453269958
6,0.09584440126588059,0.10303043574094772,3.5110650062561035,5.903209209442139,4.795848369598389,0.0009698362470397234,193.10319995880127
7,0.09297915357055415,0.09726856648921967,3.034026861190796,5.573078632354736,4.24898099899292,0.0009468031697841597,193.17791152000427
8,0.09132038897805167,0.09118392318487167,2.7926013469696045,5.224453449249268,3.973529815673828,0.000917727873187472,193.23583316802979
9,0.08966428428095219,0.08935730159282684,2.680222511291504,5.119795799255371,3.8442299365997314,0.0008830035507579279,193.31935095787048
10,0.08846161935855935,0.08939842134714127,2.627187967300415,5.122152328491211,3.777897596359253,0.0008430997893873717,193.0730197429657
11,0.08725880201002287,0.08771949261426926,2.5427591800689697,5.025957107543945,3.670185089111328,0.0007985562189940801,193.0759334564209
12,0.085741355797865,0.08538023382425308,2.459890604019165,4.891927242279053,3.5668880939483643,0.0007499752149538454,193.41637682914734
13,0.08488862074438784,0.08533670753240585,2.4736177921295166,4.88943338394165,3.566425085067749,0.0006980137520063822,193.4098241329193
14,0.08399064996553358,0.08570955693721771,2.48506498336792,4.910796165466309,3.5832159519195557,0.0006433745197990024,360.0891101360321
15,0.08288426424625464,0.08331537246704102,2.3747925758361816,4.773619174957275,3.4337618350982666,0.0005867964202145885,314.74815917015076
16,0.08197929544284742,0.08251820504665375,2.3086800575256348,4.727944374084473,3.37168550491333,0.0005290445749912015,193.97643041610718
17,0.08075944457046817,0.08123001456260681,2.253335475921631,4.654137134552002,3.3050308227539062,0.0004708999787631281,193.69635462760925
18,0.07983329311440276,0.08331409096717834,2.3540148735046387,4.773545742034912,3.416391611099243,0.00041314893744823466,193.7866940498352
19,0.07885017394333194,0.08003905415534973,2.19891357421875,4.585899353027344,3.2208166122436523,0.0003565724348093248,204.61812925338745
20,0.07793802404804813,0.07973593473434448,2.189279556274414,4.568532466888428,3.2233078479766846,0.0003019355709885108,251.28570795059204
21,0.0771227395457493,0.080060675740242,2.163198947906494,4.587139129638672,3.1927950382232666,0.00024997721584031017,193.90368604660034
22,0.07612900147662559,0.07869803160429001,2.1076579093933105,4.509065628051758,3.117825984954834,0.00020140001698438058,193.776593208313
23,0.07526231435687113,0.07824448496103287,2.078578233718872,4.483078956604004,3.081284284591675,0.0001568608977018474,194.4927146434784
24,0.07443084347966444,0.07803384214639664,2.0617499351501465,4.471009254455566,3.064082384109497,0.00011696217317486488,193.9209566116333
25,0.07362858865108864,0.07795281708240509,2.053093910217285,4.466367721557617,3.0468757152557373,8.224340520704196e-05,194.01862907409668
26,0.07291858712880431,0.07778067141771317,2.0345165729522705,4.4565043449401855,3.027021884918213,5.3174105575656056e-05,194.01023650169373
27,0.07229206794748957,0.07760488986968994,2.0221660137176514,4.446432590484619,3.017240524291992,3.014738669030673e-05,193.83319449424744
28,0.07180365684996058,0.07762397825717926,2.0150885581970215,4.447526931762695,3.009937047958374,1.3474645421953093e-05,194.4306676387787
29,0.07148326284603855,0.07758037745952606,2.0111024379730225,4.445027828216553,3.009937047958374,3.3813519944307104e-06,194.01703262329102
30,0.07132336520756706,0.07761223614215851,2.007986068725586,4.446854114532471,3.0103838443756104,4.000886464519748e-09,193.83285880088806
