epoch,train_loss,val_loss,auc,auc_weighted,accuracy,accuracy_weighted,n_stopped,n_through,lr,time_s
1,0.729098108673797,0.3898705244064331,0.9524070694822023,0.9343411462692106,0.8786148461963529,0.808356523513794,5695,5163,0.00046963668321604515,84.18069291114807
2,0.5047342793906436,0.48656749725341797,0.9570350047622231,0.9440400492326491,0.8228955608767728,0.7511164546012878,5695,5163,0.0003499789125405295,83.84703087806702
3,0.4409617142203976,0.2690691351890564,0.9611215209457039,0.9473718117440726,0.8895745072757414,0.8819349408149719,5695,5163,0.00018815855844519797,84.11102437973022
4,0.38804586875964614,0.26745450496673584,0.9720542789691696,0.9589909316534859,0.9114938294345183,0.8764826059341431,5695,5163,5.241833579772409e-05,84.07822155952454
5,0.34256461955168666,0.25811418890953064,0.9733535555636046,0.9606430218989852,0.9125990053416836,0.880411684513092,5695,5163,2.473001840833267e-09,83.88396859169006
